,"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20230401-20230930,20221001-20230331,20220401-20220930,20211001-20220331,20210401-20210930,20201001-20210331,20200401-20200930,20191001-20200331,20190401-20190930,20190301-20190930,20181001-20190331,20171218-20180930
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,entity01276594_udf_IS_20192813175872_StatementOfComprehensiveIncomeAbstract,영업수익,Operating Revenue,포괄손익계산서 [개요],영업수익,,,47859035601.0,44944413216.0,50563954647.0,48207482884.0,41845064161.0,37796038149.0,26357171091.0,23086429117.0,22295646187.0,22295646187.0,21275394053.0,6730063930.0
1,entity01276594_udf_IS_201928131716191_StatementOfComprehensiveIncomeAbstract,영업비용,Operating Expenses,포괄손익계산서 [개요],영업비용,,,22719588946.0,17822143436.0,24107733681.0,19431136325.0,19771851129.0,14981731383.0,13006808122.0,9118428834.0,11420745286.0,11420745286.0,9284973589.0,8085335327.0
2,dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,25139446655.0,27122269780.0,26456220966.0,28776346559.0,22073213032.0,22814306766.0,13350362969.0,13968000283.0,10874900901.0,10874900901.0,11990420464.0,-1355271397.0
3,entity01276594_udf_IS_201928131728879_StatementOfComprehensiveIncomeAbstract,기타수익,Other revenue,포괄손익계산서 [개요],기타수익,,,48112999.0,9263683.0,45494996.0,231144076.0,476380913.0,36151650.0,144287832.0,22571059.0,111161384.0,111161384.0,380986.0,78795767.0
4,entity01276594_udf_IS_20192813183560_StatementOfComprehensiveIncomeAbstract,기타비용,Other expenses,포괄손익계산서 [개요],기타비용,,,355000.0,4739548.0,2126317.0,254895.0,9005.0,18289.0,18031702.0,2632506.0,55896.0,55896.0,8155.0,6.0
5,ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,793853821.0,1083805804.0,491779117.0,283120442.0,144443380.0,110267101.0,77466412.0,129638664.0,165630580.0,165630580.0,124962663.0,60092530.0
6,entity01276594_udf_IS_201928131739220_StatementOfComprehensiveIncomeAbstract,금융비용,financial expenses,포괄손익계산서 [개요],금융비용,,,17570473166.0,18106424885.0,20819606868.0,23236096915.0,19753651872.0,16028475663.0,11027845461.0,8395309817.0,8134384842.0,8134384842.0,8332531359.0,7731405686.0
7,entity01276594_udf_IS_2023121216823955OfStatementOfComprehensiveIncomeAbstract,관계기업투자 관련손익,Profit and loss related to investment in affiliated companies,포괄손익계산서 [개요],관계기업투자 관련손익,,,30666848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291660271.0,1496843941.0
8,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,8441252157.0,10104174834.0,6171761894.0,6054259267.0,2940376448.0,6932231565.0,2526240050.0,5722267683.0,3017252127.0,3017252127.0,5074884870.0,-7450944851.0
