,Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
0,2022-04-01,228959.671875,89556.078125,47273.4296875,9053.5283203125,41625.76953125,23705.177734375,28180.001953125
1,2022-04-04,234648.109375,90842.015625,47886.23046875,9097.4765625,41711.7734375,24246.166015625,28460.865234375
2,2022-04-05,234648.109375,90658.3125,48323.94921875,9361.171875,40507.72265625,24590.43359375,28460.865234375
3,2022-04-06,235596.1875,89739.7890625,48061.3203125,9141.42578125,40808.73046875,25328.146484375,27899.140625
4,2022-04-07,233226.0,87810.890625,47711.1484375,9141.42578125,40163.7109375,24787.15625,27665.0859375
5,2022-04-08,235122.15625,86800.515625,47973.7734375,9185.375,39862.69140625,24836.337890625,27711.896484375
6,2022-04-11,235596.1875,87810.890625,48586.58203125,9053.5283203125,40421.71875,24196.986328125,27711.896484375
7,2022-04-12,231329.859375,85973.8359375,48499.03515625,9097.4765625,40335.7109375,23606.814453125,27150.16796875
8,2022-04-13,235596.1875,86800.515625,50162.35546875,9097.4765625,40593.7265625,23951.08203125,27337.4140625
9,2022-04-14,236544.265625,86341.25,50687.6171875,9053.5283203125,40507.72265625,23508.453125,27477.84375
10,2022-04-15,237492.328125,86433.1015625,51387.96484375,9141.42578125,40335.7109375,23754.357421875,27805.51953125
11,2022-04-18,236544.265625,88270.15625,51037.79296875,9141.42578125,40163.7109375,23311.73046875,27477.84375
12,2022-04-19,237966.375,87719.0390625,51738.13671875,9185.375,40937.73828125,23311.73046875,27618.275390625
13,2022-04-20,243654.8125,89280.53125,51738.13671875,9097.4765625,41066.7421875,23360.91015625,27477.84375
14,2022-04-21,251239.390625,90290.90625,51475.5078125,9185.375,41324.75390625,23213.369140625,27384.224609375
15,2022-04-22,251239.390625,89831.640625,51387.96484375,9053.5283203125,41926.78515625,22869.1015625,27384.224609375
16,2022-04-25,245550.96875,85514.578125,51125.33984375,9009.5791015625,40808.73046875,22328.11328125,27056.546875
17,2022-04-26,248395.171875,86524.953125,51300.421875,9844.6123046875,40636.7265625,22131.388671875,27103.359375
18,2022-04-27,247921.125,84136.796875,50950.25,9624.8671875,39776.69140625,21737.943359375,26728.873046875
19,2022-04-28,255031.671875,85973.8359375,51650.59765625,9536.9677734375,40937.73828125,21885.484375,26822.49609375
20,2022-04-29,254083.625,86800.515625,51037.79296875,9449.0712890625,40421.71875,22377.29296875,26775.68359375
