,SK㈜_corr,SK㈜_p_val,롯데쇼핑_corr,롯데쇼핑_p_val,HD현대_corr,HD현대_p_val,서부티앤디_corr,서부티앤디_p_val,하나금융지주_corr,하나금융지주_p_val,모두투어_corr,모두투어_p_val,SK디앤디_corr,SK디앤디_p_val
SK리츠,0.20322707379081562,5.647145095386068e-06,0.07924315970478929,0.07939709552154188,0.10915719026430314,0.015527700928929708,0.22594419315811565,4.205790528786473e-07,0.2027568301061782,5.9415043291079515e-06,0.20258264303757353,6.05421150757327e-06,0.08855607095033184,0.04986451884185017
롯데리츠,0.27528208359548495,5.484608527211546e-10,0.1781650762059541,7.198861810259319e-05,0.2253006637294883,4.5445503950876606e-07,0.31831245626371657,5.044263426055575e-13,0.2312813991485962,2.192638151551576e-07,0.2693324164121973,1.3176454307317025e-09,0.14337266629755685,0.0014460414172483519
코람코라이프인프라리츠,0.17730181188378413,7.812818498908549e-05,0.12430975217948323,0.005811970507442692,0.16475168698079337,0.00024595785605340984,0.3194382174571473,4.1348118758364824e-13,0.20032369107388232,7.713630873032605e-06,0.1803914235838831,5.818715231540939e-05,0.09582479165600805,0.033769723906136646
신한서부티앤디리츠,0.20089237222590536,7.259157699804666e-06,0.10084002322712887,0.02545224679232251,0.12859619932076105,0.004315927395357818,0.22873700656856202,2.9969795370438927e-07,0.16109088969938493,0.0003385397714540972,0.24196869129167908,5.6708528064703785e-08,0.08828958106492127,0.05055951701262002
코람코더원리츠,0.23336982408401777,1.691982143051699e-07,0.13878574694954496,0.002053538956539386,0.19428620365417645,1.4542796908572762e-05,0.26080206245491433,4.462209323357535e-09,0.22325985054602596,5.801289307144589e-07,0.30432943059564194,5.563244887811718e-12,0.1441173303657173,0.001364683260896697
스타리츠,0.09664147974245384,0.032275041787570055,0.08003498533514712,0.07643112852209993,0.09669148172448726,0.03218539473279188,0.07499067309473198,0.09695776716511297,0.043111213268917696,0.3404436136940027,0.06386616179574663,0.15765118726565147,0.02356997240369923,0.6023549960770597
디앤디플랫폼리츠,0.22286002881692038,6.083881367070076e-07,0.10829815460848566,0.016364870003487242,0.22246541164203137,6.375738374082657e-07,0.35332218390316406,6.977481470850495e-16,0.23322349495748337,1.7231293673831968e-07,0.24344664963500526,4.679660990364536e-08,0.0936172838261174,0.03810819144035682
미래에셋글로벌치ㅡ,0.23692565156945533,1.0821277753921717e-07,0.11847708707025016,0.008592720073534588,0.14798290209028275,0.0010059785616815832,0.2053655096935351,4.475363730407958e-06,0.24597320381948307,3.3599222562147286e-08,0.20634453330600205,4.020059278740465e-06,0.0944126093291529,0.03649357161686825
NH올원리츠,0.20361731651977277,5.413482391545662e-06,0.1596227200130496,0.00038409090171376357,0.2125074082707436,2.021913810607244e-06,0.2619277495463236,3.8081527826554875e-09,0.23438205402878787,1.4909106071166446e-07,0.25948684450342496,5.36494082083606e-09,0.10561344897247486,0.019241294117440595
ESR켄달스퀘어리츠,0.22755737956367808,3.459971795342723e-07,0.14558884796375007,0.0012161561628075204,0.1701590533896853,0.00015154383784658667,0.24704552122045764,2.915958348948658e-08,0.20992093451240482,2.704654349228778e-06,0.250194414700451,1.9159454735506424e-08,0.1283521492494759,0.004390711503117734
제이알글로벌리츠,0.2696524334521706,1.2576477459828307e-09,0.20004781516213282,7.94375174694197e-06,0.19574082243050062,1.2504458495560373e-05,0.3301109866185229,6.02190663779512e-14,0.21418441802303304,1.6710841240183334e-06,0.30264235873181816,7.369021791594446e-12,0.10115865552725124,0.024989463963762257
이지스레지던스리츠,0.17720909484828878,7.881617440892617e-05,0.09776076018083521,0.030318617233423505,0.17586824575958482,8.942637847642896e-05,0.2803754005729928,2.5462587911209847e-10,0.19828967144057674,9.57138614534598e-06,0.25888315565632986,5.836389169106344e-09,0.111249452294422,0.013644045456237916
이지스벨류리츠,0.1588531661004871,0.0004101884452065175,0.17589535832735098,8.919910908322541e-05,0.13423123145098093,0.0028798262655623076,0.21664413547787184,1.260092208289858e-06,0.17961782605389315,6.267182208298447e-05,0.21750730146503217,1.1403568523428356e-06,0.041354664552117434,0.3604994795831249
NH프라임리츠,0.16052830092610648,0.0003553638964492003,0.13858574938629664,0.002084699423472757,0.1108520408391017,0.013985525720974952,0.16887049874516039,0.00017031052393411697,0.21693474520692083,1.2184933594909418e-06,0.21307526207125763,1.8958853585491888e-06,0.09486098818201877,0.03560918841919026
신한알파리츠,0.1507452098628249,0.0008053636634963777,0.0373304573285436,0.4091632368965909,0.06731333792607593,0.136368398188561,0.12289667652578647,0.006398854589370819,0.11896310168938365,0.008322366889001872,0.10652218297006597,0.01822184963774468,0.12761344466371569,0.004624262186916479
이리츠코크렙,0.1801923000351342,5.931162573530461e-05,0.11616304419498058,0.0099902378145484,0.13438884698753067,0.002846796882219119,0.2788390246234651,3.2147331622772975e-10,0.18570584858796035,3.464757646958302e-05,0.23640235451878452,1.156219359951503e-07,0.08336877538974495,0.06491623362940108
케이탑리츠,0.2873583174568355,8.666429910704032e-11,0.27624128111362356,4.752368900556712e-10,0.27598320985321906,4.939446917002259e-10,0.37961486047275406,2.8126983102633558e-18,0.2507431538161836,1.7796863643828754e-08,0.31526394738611546,8.605816918402035e-13,0.17516741132150218,9.549383105422156e-05
