대주주,티커,리츠,상장일,리츠티커
SK㈜,34730,SK리츠,21년 9월,395400
롯데쇼핑,23530,롯데리츠,19년 11월,330590
HD현대,267250,코람코라이프인프라리츠,20년 9월,357120
서부티앤디,6730,신한서부티앤디리츠,21년 12월,404990
하나금융지주,86790,코람코더원리츠,22년 4월,417310
모두투어,80160,스타리츠,16년9월,204210
SK디앤디,210980,디앤디플랫폼리츠,21년 08월,377190
,,마스턴프리미어리츠,22년 6월,357430
,,미래에셋글로벌치ㅡ,21년 12월,396690
,,NH올원리츠,21년 11월,400760
,,ESR켄달스퀘어리츠,20년 12월,365550
,,제이알글로벌리츠,20년 08월,348950
,,이지스레지던스리츠,20년 08월,350520
,,이지스벨류리츠,20년 07월,334890
,,NH프라임리츠,19년 12월,338100
,,신한알파리츠,18년 08월,293940
,,이리츠코크렙,18년 06월,88260
,,케이탑리츠,14년 04월,145270
